"filename", "language", "TypeScript", "Properties", "Markdown", "JSON", "HTML", "XML", "JavaScript", "JSON with Comments", "TypeScript React", "vue", "CSS", "YAML", "comment", "blank", "total"
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/lawyers/AdminLawyerDetails.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 3, 7, 121
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/lawyers/AdminLawyers.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 26, 6, 216
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/lawyers/AdminNewLawyer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 14, 14, 339
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/profile/AdminProfile.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 11, 3, 126
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/roles/AdminRoles.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 4, 54
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/schedules/AdminNewSchedule.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 8, 128
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/schedules/AdminSchedules.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 1, 8, 335
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/users/AdminNewUser.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 11, 5, 248
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/users/AdminUserDetails.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 2, 8, 98
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/users/AdminUsers.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 5, 7, 348
